접수ID,접수일,접수채널,차종,구입후개월,지역,VOC유형,추천지수,재구매의향,처리상태,처리소요일,내용요약
V041,2026-09-04,영업점,아이오닉5,24,호남,인포테인먼트,1,없음,처리완료,6,무선 업데이트 이후 음성인식이 잘 안 됩니다.
V042,2026-08-24,서비스센터 방문,투싼,1,중부,차량품질,10,있음,처리완료,1,정비 예약이 3주 뒤에나 잡힙니다.
V043,2026-08-31,홈페이지,팰리세이드,1,수도권,인포테인먼트,4,없음,처리완료,3,블루투스 연결이 자주 끊깁니다.
V044,2026-08-15,콜센터,팰리세이드,24,호남,영업응대,8,있음,처리완료,11,전반적으로 만족합니다.
V045,2026-08-23,영업점,아이오닉5,24,중부,인포테인먼트,5,없음,처리완료,10,무선 업데이트 이후 음성인식이 잘 안 됩니다.
V046,2026-08-24,앱,팰리세이드,24,수도권,차량품질,7,있음,처리완료,3,서비스센터 대기 시간이 깁니다.
V047,2026-08-25,홈페이지,쏘나타,3,중부,정비서비스,8,있음,처리완료,10,상담원 응대는 친절했습니다.
V048,2026-08-14,앱,쏘나타,12,수도권,영업응대,7,있음,처리완료,12,정비 예약이 3주 뒤에나 잡힙니다.
V049,2026-08-19,서비스센터 방문,싼타페,12,호남,인포테인먼트,2,없음,처리완료,11,후방카메라 화면이 늦게 뜹니다.
V050,2026-08-11,서비스센터 방문,아반떼,12,호남,보증/비용,9,있음,처리완료,5,출고 일정이 두 번 연기되었습니다.
V051,2026-08-10,영업점,쏘나타,3,수도권,영업응대,6,없음,처리완료,10,상담원 응대는 친절했습니다.
V052,2026-09-03,영업점,그랜저,3,호남,인도지연,6,없음,처리완료,5,상담원 응대는 친절했습니다.
V053,2026-08-25,콜센터,투싼,24,수도권,인도지연,7,있음,처리완료,11,상담원 응대는 친절했습니다.
V054,2026-08-22,서비스센터 방문,쏘나타,12,호남,인도지연,9,있음,처리중,,전반적으로 만족합니다.
V055,2026-08-12,서비스센터 방문,아반떼,12,호남,영업응대,7,있음,처리중,,정비 예약이 3주 뒤에나 잡힙니다.
V056,2026-08-18,영업점,아이오닉5,3,영남,인포테인먼트,1,없음,처리완료,2,내비게이션 화면이 주행 중 재부팅됩니다.
V057,2026-08-14,앱,아이오닉5,6,영남,정비서비스,6,없음,처리완료,6,출고 일정이 두 번 연기되었습니다.
V058,2026-09-02,앱,싼타페,6,영남,보증/비용,10,있음,처리완료,10,상담원 응대는 친절했습니다.
V059,2026-08-14,서비스센터 방문,그랜저,1,영남,인도지연,8,있음,처리완료,4,정비 예약이 3주 뒤에나 잡힙니다.
V060,2026-09-03,서비스센터 방문,팰리세이드,1,영남,차량품질,8,있음,처리완료,9,정비 예약이 3주 뒤에나 잡힙니다.
V061,2026-08-19,콜센터,쏘나타,18,수도권,정비서비스,6,없음,처리완료,10,정비 예약이 3주 뒤에나 잡힙니다.
V062,2026-09-01,콜센터,쏘나타,2,중부,차량품질,8,있음,처리완료,10,보증 범위 안내가 명확하지 않았습니다.
V063,2026-08-27,서비스센터 방문,아반떼,9,수도권,보증/비용,7,있음,처리완료,7,상담원 응대는 친절했습니다.
V064,2026-08-30,서비스센터 방문,그랜저,1,수도권,보증/비용,9,있음,처리완료,4,보증 범위 안내가 명확하지 않았습니다.
V065,2026-08-30,콜센터,그랜저,12,영남,인포테인먼트,5,없음,처리중,,내비게이션 화면이 주행 중 재부팅됩니다.
V066,2026-08-25,영업점,싼타페,9,영남,인포테인먼트,3,없음,처리완료,8,블루투스 연결이 자주 끊깁니다.
V067,2026-08-24,영업점,싼타페,9,수도권,정비서비스,10,있음,처리완료,8,정비 예약이 3주 뒤에나 잡힙니다.
V068,2026-08-24,홈페이지,쏘나타,18,수도권,영업응대,9,있음,처리중,,서비스센터 대기 시간이 깁니다.
V069,2026-08-29,앱,싼타페,24,호남,정비서비스,6,없음,처리완료,10,상담원 응대는 친절했습니다.
V070,2026-08-16,홈페이지,그랜저,18,중부,보증/비용,8,있음,처리완료,10,서비스센터 대기 시간이 깁니다.
